GEOID,NAME,ESTIMATE
01001,"Autauga County, Alabama",58786
01003,"Baldwin County, Alabama",55962
01005,"Barbour County, Alabama",34186
01007,"Bibb County, Alabama",45340
01009,"Blount County, Alabama",48695
01011,"Bullock County, Alabama",32152
01013,"Butler County, Alabama",39109
01015,"Calhoun County, Alabama",45197
01017,"Chambers County, Alabama",39872
01019,"Cherokee County, Alabama",41014
01021,"Chilton County, Alabama",45182
01023,"Choctaw County, Alabama",34884
01025,"Clarke County, Alabama",36127
01027,"Clay County, Alabama",41225
01029,"Cleburne County, Alabama",40188
01031,"Coffee County, Alabama",53155
01033,"Colbert County, Alabama",47558
01035,"Conecuh County, Alabama",33177
01037,"Coosa County, Alabama",38301
01039,"Covington County, Alabama",40601
01041,"Crenshaw County, Alabama",39812
01043,"Cullman County, Alabama",42558
01045,"Dale County, Alabama",45960
01047,"Dallas County, Alabama",31602
01049,"DeKalb County, Alabama",39233
01051,"Elmore County, Alabama",59347
01053,"Escambia County, Alabama",35000
01055,"Etowah County, Alabama",44023
01057,"Fayette County, Alabama",37458
01059,"Franklin County, Alabama",40459
01061,"Geneva County, Alabama",38142
01063,"Greene County, Alabama",21804
01065,"Hale County, Alabama",30571
01067,"Henry County, Alabama",48610
01069,"Houston County, Alabama",45496
01071,"Jackson County, Alabama",39816
01073,"Jefferson County, Alabama",51979
01075,"Lamar County, Alabama",36756
01077,"Lauderdale County, Alabama",46265
01079,"Lawrence County, Alabama",44515
01081,"Lee County, Alabama",48056
01083,"Limestone County, Alabama",56460
01085,"Lowndes County, Alabama",30833
01087,"Macon County, Alabama",32074
01089,"Madison County, Alabama",63417
01091,"Marengo County, Alabama",32809
01093,"Marion County, Alabama",35392
01095,"Marshall County, Alabama",42490
01097,"Mobile County, Alabama",46166
01099,"Monroe County, Alabama",30141
01101,"Montgomery County, Alabama",47990
01103,"Morgan County, Alabama",49751
01105,"Perry County, Alabama",23561
01107,"Pickens County, Alabama",37458
01109,"Pike County, Alabama",34678
01111,"Randolph County, Alabama",41449
01113,"Russell County, Alabama",40978
01115,"St. Clair County, Alabama",54887
01117,"Shelby County, Alabama",75761
01119,"Sumter County, Alabama",23132
01121,"Talladega County, Alabama",41012
01123,"Tallapoosa County, Alabama",43361
01125,"Tuscaloosa County, Alabama",52221
01127,"Walker County, Alabama",41748
01129,"Washington County, Alabama",40794
01131,"Wilcox County, Alabama",27237
01133,"Winston County, Alabama",38504
