city,state,summer_winter
Globe,AZ,summer
Wellington,MO ,summer
Gainesville,FL ,summer
Flint,TX,summer
Orange,CA,summer
Orange,CA ,summer
Los Angeles,CA ,summer
Diamond Bar,CA,summer
Minneapolis,MN,summer
Westminster,CA,summer
Arcadia,CA,summer
New York,NY,summer
Ames,IA,summer
Houston,TX,summer
Mobile,AL ,summer
Compton,CA,summer
"Washington",DC,summer
Palmdale,CA,summer
Saginaw,MI,summer
West Orange,NJ,summer
Houston,TX,summer
Philadelphia,PA,summer
Los Angeles ,CA ,summer
Baton Rouge,LA ,summer
Syosset,NY,summer
Indianapolis,IN,summer
Queens,NY ,summer
Wilmington,DE,summer
Miami,FL ,summer
Houston,TX,summer
Baltimore,MD,summer
Atlanta,GA ,summer
North Syracuse,NY ,summer
Chino,CA,summer
Hutchinson,MN,summer
Santa Maria,CA,summer
Cleveland,OH,summer
Wichita,KS,summer
"Washington",DC,summer
Newark,NJ,summer
Kissimmee,FL ,summer
Los Angeles,CA,summer
Flint,MI,summer
Drums,PA,summer
Salisbury,CT,summer
Charlotte,NC,summer
Huntington Beach,CA ,summer
Darnestown,MD,summer
Las Vegas,NV,summer
Lakeside,CA,summer
Tucson,AZ,summer
Visalia,CA,summer
St. Cloud,MN,summer
Durango,CO,summer
Jericho,VT ,summer
Boulder ,CO ,summer
Perkasie,PA,summer
Topton,PA,summer
Arden Hills,MN,summer
Brownsburg,IN,summer
Temecula,CA,summer
San Diego,CA,summer
Lafayette,CA ,summer
Grand Rapids,MI,summer
Boulder ,CO,summer
Boulder ,CO,summer
Boise,ID,summer
Glens Falls,NY,summer
San Francisco,CA ,summer
West Lafayette,IN ,summer
Tempe,AZ,summer
Amherst,MA,summer
Clayton,CA,summer
Carmel,IN,summer
The Woodlands,TX,summer
Indianapolis,IN,summer
Upper Arlington,OH,summer
Dover,NH,summer
Seattle,WA,summer
San Diego,CA,summer
Wellington,FL ,summer
Orlando,FL ,summer
Orangevale,CA,summer
West Grove,PA,summer
Cochranville,PA,summer
Mineral Wells,TX,summer
Middleburg,VA,summer
Wellington,FL ,summer
Brewster,NY,summer
Los Angeles ,CA,summer
Cazenovia,NY,summer
South Euclid,OH,summer
"Washington",DC,summer
San Antonio,TX,summer
San Antonio,TX,summer
Pacifica,CA ,summer
Brooklyn,NY ,summer
San Francisco,CA,summer
San Francisco,CA,summer
New York,NY,summer
Lexington,KY,summer
Brooklyn,NY,summer
Sherborn,MA,summer
Bronx,NY,summer
Matawan,NJ,summer
Maplewood,NJ,summer
Avenel,NJ,summer
