TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
R1901,01000US,United States,64,"65,712",+/-118
R1901,04000US01,Alabama,64,"51,734",+/-600
R1901,04000US02,Alaska,64,"75,463","+/-2,694"
R1901,04000US04,Arizona,64,"62,055",+/-446
R1901,04000US05,Arkansas,64,"48,952",+/-863
R1901,04000US06,California,64,"80,440",+/-313
R1901,04000US08,Colorado,64,"77,127",+/-791
R1901,04000US09,Connecticut,64,"78,833","+/-1,358"
R1901,04000US10,Delaware,64,"70,176","+/-1,623"
R1901,04000US11,District of Columbia,64,"92,266","+/-2,497"
R1901,04000US12,Florida,64,"59,227",+/-443
R1901,04000US13,Georgia,64,"61,980",+/-437
R1901,04000US15,Hawaii,64,"83,102","+/-2,138"
R1901,04000US16,Idaho,64,"60,999","+/-1,070"
R1901,04000US17,Illinois,64,"69,187",+/-585
R1901,04000US18,Indiana,64,"57,603",+/-680
R1901,04000US19,Iowa,64,"61,691",+/-750
R1901,04000US20,Kansas,64,"62,087",+/-692
R1901,04000US21,Kentucky,64,"52,295",+/-625
R1901,04000US22,Louisiana,64,"51,073",+/-586
R1901,04000US23,Maine,64,"58,924","+/-1,758"
R1901,04000US24,Maryland,64,"86,738",+/-934
R1901,04000US25,Massachusetts,64,"85,843",+/-991
R1901,04000US26,Michigan,64,"59,584",+/-572
R1901,04000US27,Minnesota,64,"74,593",+/-826
R1901,04000US28,Mississippi,64,"45,792","+/-1,184"
R1901,04000US29,Missouri,64,"57,409",+/-642
R1901,04000US30,Montana,64,"57,153","+/-1,205"
R1901,04000US31,Nebraska,64,"63,229",+/-936
R1901,04000US32,Nevada,64,"63,276","+/-1,021"
R1901,04000US33,New Hampshire,64,"77,933","+/-1,994"
R1901,04000US34,New Jersey,64,"85,751",+/-760
R1901,04000US35,New Mexico,64,"51,945",+/-969
R1901,04000US36,New York,64,"72,108",+/-452
R1901,04000US37,North Carolina,64,"57,341",+/-611
R1901,04000US38,North Dakota,64,"64,577","+/-3,011"
R1901,04000US39,Ohio,64,"58,642",+/-563
R1901,04000US40,Oklahoma,64,"54,449",+/-599
R1901,04000US41,Oregon,64,"67,058",+/-873
R1901,04000US42,Pennsylvania,64,"63,463",+/-429
R1901,04000US44,Rhode Island,64,"71,169","+/-1,559"
R1901,04000US45,South Carolina,64,"56,227",+/-835
R1901,04000US46,South Dakota,64,"59,533","+/-1,949"
R1901,04000US47,Tennessee,64,"56,071",+/-658
R1901,04000US48,Texas,64,"64,034",+/-500
R1901,04000US49,Utah,64,"75,780","+/-1,093"
R1901,04000US50,Vermont,64,"63,001","+/-1,755"
R1901,04000US51,Virginia,64,"76,456",+/-842
R1901,04000US53,Washington,64,"78,687",+/-923
R1901,04000US54,West Virginia,64,"48,850","+/-1,131"
R1901,04000US55,Wisconsin,64,"64,168",+/-600
R1901,04000US56,Wyoming,64,"65,003","+/-2,118"
R1901,04000US72,Puerto Rico,64,"20,474",+/-382
R1901,05000US01003,"Baldwin County, Alabama",64,"56,439","+/-6,268"
R1901,05000US01015,"Calhoun County, Alabama",64,"48,156","+/-4,922"
R1901,05000US01043,"Cullman County, Alabama",64,"50,906","+/-3,480"
R1901,05000US01049,"DeKalb County, Alabama",64,"44,208","+/-5,702"
R1901,05000US01051,"Elmore County, Alabama",64,"61,854","+/-5,816"
R1901,05000US01055,"Etowah County, Alabama",64,"41,447","+/-4,256"
R1901,05000US01069,"Houston County, Alabama",64,"50,103","+/-2,903"
R1901,05000US01073,"Jefferson County, Alabama",64,"53,944","+/-2,334"
R1901,05000US01077,"Lauderdale County, Alabama",64,"46,632","+/-4,682"
R1901,05000US01081,"Lee County, Alabama",64,"53,712","+/-6,669"
R1901,05000US01083,"Limestone County, Alabama",64,"63,695","+/-7,295"
R1901,05000US01089,"Madison County, Alabama",64,"67,930","+/-3,939"
R1901,05000US01095,"Marshall County, Alabama",64,"49,467","+/-5,095"
R1901,05000US01097,"Mobile County, Alabama",64,"49,639","+/-1,885"
R1901,05000US01101,"Montgomery County, Alabama",64,"53,117","+/-2,094"
R1901,05000US01103,"Morgan County, Alabama",64,"54,338","+/-3,209"
R1901,05000US01115,"St. Clair County, Alabama",64,"67,487","+/-6,240"
R1901,05000US01117,"Shelby County, Alabama",64,"75,614","+/-4,757"
R1901,05000US01121,"Talladega County, Alabama",64,"50,147","+/-8,550"
R1901,05000US01125,"Tuscaloosa County, Alabama",64,"52,243","+/-3,387"
R1901,05000US01127,"Walker County, Alabama",64,"46,283","+/-5,473"
R1901,05000US02020,"Anchorage Municipality, Alaska",64,"82,716","+/-3,743"
R1901,05000US02090,"Fairbanks North Star Borough, Alaska",64,"72,065","+/-7,928"
