FIRST NAME,LAST NAME,SEASON,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,HOMETOWN CITY,LAT,LONG,HOMETOWN STATE,STATE ABR
Stacey,Cook,Winter,F,Alpine Skiing,Did Not Compete,"2006, 2010, 2014","5'4""",160,7/3/84,Mammoth Lakes,37.6273,-118.99,Calif.,CA
Breezy,Johnson,Winter,F,Alpine Skiing,"Downhill, Super-G",,"5'8""",,1/19/96,Jackson ,#N/A,#N/A,Wyo.,WY
Tricia ,Mangan,Winter,F,Alpine Skiing,"Giant Slalom, Alpine Team Event",,"5'8""",140,3/7/97,Buffalo,42.9016,-78.8487,N.Y.,NY
Megan,McJames,Winter,F,Alpine Skiing,"Giant Slalom, Slalom, Alpine Team Event","2010, 2014","5'6""",135,9/24/87,Park City,40.6505,-111.502,Utah,UT
Alice,McKennis,Winter,F,Alpine Skiing,"Downhill, Super-G",2010,"5'6""",158,8/18/89,New Castle,40.9956,-80.3459,Colo.,CO
Alice,Merryweather,Winter,F,Alpine Skiing,"Alpine Combined, Slalom, Alpine Team Event",,"5'8""",150,10/5/96,Hingham,43.6465,-87.9151,Mass.,MA
Laurenne,Ross,Winter,F,Alpine Skiing,"Downhill, Super-G",2014,"5'7""",150,8/17/88,Bend,44.0562,-121.3087,Ore.,OR
Mikaela,Shiffrin,Winter,F,Alpine Skiing,"Alpine Combined, Giant Slalom, Slalom",2014,"5'7""",146,3/13/95,Vail,32.0217,-110.6937,Colo.,CO
Resi,Stiegler,Winter,F,Alpine Skiing,"Giant Slalom, Slalom","2006, 2014","5'7""",135,11/14/85,Jackson ,#N/A,#N/A,Wyo.,WY
Lindsey,Vonn,Winter,F,Alpine Skiing,"Alpine Combined, Downhill, Super-G","2002, 2006, 2010","5'10""",140,10/18/84,Vail,32.0217,-110.6937,Colo.,CO
Jacqueline,Wiles,Winter,F,Alpine Skiing,Did Not Compete,2014,"5'7""",160,7/13/92,Portland,45.5372,-122.65,Ore.,OR
Bryce,Bennett,Winter,M,Alpine Skiing,"Alpine Combined, Downhill",,"6'7""",220,7/14/92,Tahoe Vista,39.2483,-120.0535,Calif.,CA
Tommy,Biesemeyer,Winter,M,Alpine Skiing,Did Not Compete,,"6'0""",190,1/30/89,Keene,42.9494,-72.2997,N.Y.,NY
David,Chodounsky,Winter,M,Alpine Skiing,"Slalom, Alpine Team Event",2014,"5'11""",185,6/25/84,Crested Butte,38.8675,-106.9772,Colo.,CO
Ryan,Cochran-Siegle,Winter,M,Alpine Skiing,"Alpine Combined, Downhill, Giant Slalom, Super-G",,"6'1""",200,3/27/92,Starksboro,#N/A,#N/A,Vt.,VT
Mark,Engel,Winter,M,Alpine Skiing,"Slalom, Alpine Team Event",,"5'9""",175,10/1/91,Truckee,39.3455,-120.1848,Calif.,CA
Tommy,Ford,Winter,M,Alpine Skiing,Giant Slalom,2010,"5'11""",165,3/20/89,Bend,44.0562,-121.3087,Ore.,OR
Jared,Goldberg,Winter,M,Alpine Skiing,"Alpine Combined, Downhill, Super-G",2014,"6'0""",200,6/17/91,Salt Lake City ,40.7777,-111.9306,Utah,UT
Tim,Jitloff,Winter,M,Alpine Skiing,Giant Slalom,2014,"5'11""",195,1/11/85,Reno,39.5497,-119.8483,Nev.,NV
Nolan,Kasper,Winter,M,Alpine Skiing,"Slalom, Alpine Team Event","2010, 2014","5'8""",180,3/27/89,Warren,42.4934,-83.027,Vt.,VT
