country,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Japan,29,25,29,25,,32,14,22,14,18,37,25,38,41
Germany,50,25,,,,,,40,82,56,49,41,44,42
East Germany,,25,66,90,126,,102,40,,,,,,
West Germany,,26,40,39,,59,40,40,,,,,,
Canada,4,5,5,11,,44,10,18,22,14,12,20,18,22
Russia,96,91,99,125,195,,132,112,63,89,90,60,68,56
United States,90,107,94,94,,174,94,108,101,93,101,112,104,121
Spain,0,0,1,2,6,5,4,22,17,11,20,19,18,17
Australia,18,17,17,5,9,24,14,27,41,58,50,46,35,29
Greece,0,1,2,0,3,2,1,2,8,13,16,3,2,6
China,,,,,,32,28,54,50,58,63,100,91,70
United Kingdom,18,13,18,13,21,37,24,20,15,28,30,51,65,67
Brazil,1,3,2,2,4,8,6,3,15,12,10,17,17,19
